Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,402,7
Großrosseln,356,10
Heusweiler,852,16
Kleinblittersdorf,706,13
Püttlingen,880,16
Quierschied,587,11
Riegelsberg,720,6
Saarbrücken,10337,174
Sulzbach/Saar,727,9
Völklingen,2698,81
