Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,401,9
Großrosseln,353,7
Heusweiler,845,18
Kleinblittersdorf,702,23
Püttlingen,875,24
Quierschied,582,9
Riegelsberg,717,4
Saarbrücken,10260,228
Sulzbach/Saar,726,14
Völklingen,2661,94
