Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,348,15
Großrosseln,328,6
Heusweiler,721,16
Kleinblittersdorf,630,10
Püttlingen,745,17
Quierschied,503,11
Riegelsberg,630,17
Saarbrücken,8733,270
Sulzbach/Saar,612,35
Völklingen,2248,79
