Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,327,26
Großrosseln,319,30
Heusweiler,701,31
Kleinblittersdorf,618,12
Püttlingen,720,24
Quierschied,491,24
Riegelsberg,609,28
Saarbrücken,8356,551
Sulzbach/Saar,578,34
Völklingen,2143,159
