Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,365,6
Großrosseln,330,1
Heusweiler,747,1
Kleinblittersdorf,641,1
Püttlingen,760,0
Quierschied,519,2
Riegelsberg,640,3
Saarbrücken,8988,32
Sulzbach/Saar,657,3
Völklingen,2282,6
