Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,392,5
Großrosseln,346,1
Heusweiler,833,32
Kleinblittersdorf,695,26
Püttlingen,860,37
Quierschied,574,4
Riegelsberg,714,22
Saarbrücken,10128,309
Sulzbach/Saar,714,8
Völklingen,2604,104
