Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,557,31
Großrosseln,441,16
Heusweiler,1125,50
Kleinblittersdorf,1050,50
Püttlingen,1218,85
Quierschied,875,63
Riegelsberg,928,57
Saarbrücken,12912,735
Sulzbach/Saar,1194,90
Völklingen,3459,160
