Stadt/Gemeinde,last7,last14,mix,Gemeinde
Friedrichsthal,13,21,13.0,Friedrichsthal
Großrosseln,4,9,4.0,Großrosseln
Heusweiler,5,17,5.0,Heusweiler
Kleinblittersdorf,6,11,6.0,Kleinblittersdorf
Püttlingen,11,25,11.0,Püttlingen
Quierschied,7,12,7.0,Quierschied
Riegelsberg,13,19,13.0,Riegelsberg
Saarbrücken,172,360,172.0,Saarbrücken
Sulzbach/Saar,23,30,23.0,Sulzbach/Saar
Völklingen,51,104,51.0,Völklingen
