Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,369,4
Großrosseln,331,1
Heusweiler,756,6
Kleinblittersdorf,647,4
Püttlingen,779,4
Quierschied,534,10
Riegelsberg,647,5
Saarbrücken,9260,163
Sulzbach/Saar,673,12
Völklingen,2362,59
