Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,334,29
Großrosseln,324,23
Heusweiler,713,32
Kleinblittersdorf,623,5
Püttlingen,734,20
Quierschied,496,8
Riegelsberg,615,23
Saarbrücken,8534,405
Sulzbach/Saar,585,27
Völklingen,2193,138
