Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,351,15
Großrosseln,328,4
Heusweiler,727,14
Kleinblittersdorf,633,9
Püttlingen,747,13
Quierschied,506,11
Riegelsberg,632,15
Saarbrücken,8779,225
Sulzbach/Saar,621,37
Völklingen,2256,66
