Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,359,1
Großrosseln,329,0
Heusweiler,746,1
Kleinblittersdorf,640,2
Püttlingen,759,3
Quierschied,517,0
Riegelsberg,636,0
Saarbrücken,8946,38
Sulzbach/Saar,654,6
Völklingen,2276,4
