Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,365,6
Großrosseln,330,1
Heusweiler,749,3
Kleinblittersdorf,642,2
Püttlingen,771,11
Quierschied,521,4
Riegelsberg,642,4
Saarbrücken,9031,59
Sulzbach/Saar,657,1
Völklingen,2289,11
