Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,364,5
Großrosseln,329,0
Heusweiler,746,0
Kleinblittersdorf,640,0
Püttlingen,760,1
Quierschied,519,2
Riegelsberg,638,2
Saarbrücken,8974,28
Sulzbach/Saar,657,3
Völklingen,2280,4
