Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,402,1
Großrosseln,356,1
Heusweiler,852,6
Kleinblittersdorf,707,3
Püttlingen,880,3
Quierschied,587,4
Riegelsberg,720,2
Saarbrücken,10350,80
Sulzbach/Saar,728,2
Völklingen,2702,40
