Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,396,6
Großrosseln,350,4
Heusweiler,839,19
Kleinblittersdorf,699,26
Püttlingen,867,23
Quierschied,578,7
Riegelsberg,715,13
Saarbrücken,10189,234
Sulzbach/Saar,719,9
Völklingen,2632,91
