Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,390,8
Großrosseln,346,6
Heusweiler,829,34
Kleinblittersdorf,680,15
Püttlingen,850,42
Quierschied,571,11
Riegelsberg,713,39
Saarbrücken,10044,384
Sulzbach/Saar,710,14
Völklingen,2564,99
