Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,526,42
Großrosseln,425,32
Heusweiler,1075,58
Kleinblittersdorf,1000,119
Püttlingen,1133,77
Quierschied,812,90
Riegelsberg,871,53
Saarbrücken,12177,697
Sulzbach/Saar,1104,171
Völklingen,3299,221
