Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,401,9
Großrosseln,355,9
Heusweiler,846,15
Kleinblittersdorf,705,19
Püttlingen,877,22
Quierschied,583,10
Riegelsberg,718,5
Saarbrücken,10280,209
Sulzbach/Saar,726,13
Völklingen,2668,89
