Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,532,43
Großrosseln,426,28
Heusweiler,1083,55
Kleinblittersdorf,1009,104
Püttlingen,1149,80
Quierschied,826,94
Riegelsberg,883,52
Saarbrücken,12335,713
Sulzbach/Saar,1125,150
Völklingen,3335,218
