Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,511,46
Großrosseln,412,24
Heusweiler,1060,75
Kleinblittersdorf,962,139
Püttlingen,1105,80
Quierschied,785,105
Riegelsberg,857,61
Saarbrücken,11955,647
Sulzbach/Saar,1067,167
Völklingen,3221,190
