Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,375,10
Großrosseln,332,1
Heusweiler,762,9
Kleinblittersdorf,655,9
Püttlingen,780,1
Quierschied,540,12
Riegelsberg,656,13
Saarbrücken,9426,228
Sulzbach/Saar,682,14
Völklingen,2413,81
