Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,474,29
Großrosseln,389,11
Heusweiler,1000,57
Kleinblittersdorf,858,114
Püttlingen,1038,72
Quierschied,703,61
Riegelsberg,808,33
Saarbrücken,11392,365
Sulzbach/Saar,917,81
Völklingen,3053,123
