Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,369,4
Großrosseln,331,1
Heusweiler,757,7
Kleinblittersdorf,648,4
Püttlingen,779,1
Quierschied,536,10
Riegelsberg,649,7
Saarbrücken,9291,183
Sulzbach/Saar,674,11
Völklingen,2367,58
