Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,632,35
Großrosseln,497,29
Heusweiler,1238,48
Kleinblittersdorf,1105,24
Püttlingen,1325,30
Quierschied,974,39
Riegelsberg,1042,46
Saarbrücken,14221,529
Sulzbach/Saar,1315,53
Völklingen,3784,121
