Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,425,7
Großrosseln,369,3
Heusweiler,896,14
Kleinblittersdorf,722,6
Püttlingen,930,20
Quierschied,615,6
Riegelsberg,760,19
Saarbrücken,10687,127
Sulzbach/Saar,777,20
Völklingen,2833,30
