Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,316,20
Großrosseln,311,28
Heusweiler,692,32
Kleinblittersdorf,615,16
Püttlingen,708,27
Quierschied,484,22
Riegelsberg,603,40
Saarbrücken,8233,631
Sulzbach/Saar,564,30
Völklingen,2094,144
