Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,401,8
Großrosseln,355,9
Heusweiler,846,15
Kleinblittersdorf,705,19
Püttlingen,878,22
Quierschied,584,11
Riegelsberg,718,5
Saarbrücken,10285,206
Sulzbach/Saar,726,12
Völklingen,2669,88
