Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,644,24
Großrosseln,505,20
Heusweiler,1254,39
Kleinblittersdorf,1109,19
Püttlingen,1345,32
Quierschied,982,29
Riegelsberg,1054,37
Saarbrücken,14417,452
Sulzbach/Saar,1335,43
Völklingen,3814,90
