Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,411,6
Großrosseln,361,3
Heusweiler,875,13
Kleinblittersdorf,715,5
Püttlingen,893,11
Quierschied,608,17
Riegelsberg,729,6
Saarbrücken,10497,87
Sulzbach/Saar,741,5
Völklingen,2779,37
