Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,309,15
Großrosseln,305,22
Heusweiler,692,35
Kleinblittersdorf,614,19
Püttlingen,708,32
Quierschied,481,27
Riegelsberg,600,44
Saarbrücken,8174,650
Sulzbach/Saar,563,33
Völklingen,2083,147
