Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,343,26
Großrosseln,326,18
Heusweiler,716,31
Kleinblittersdorf,628,6
Püttlingen,743,20
Quierschied,499,6
Riegelsberg,621,20
Saarbrücken,8647,367
Sulzbach/Saar,598,34
Völklingen,2232,131
