Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,402,1
Großrosseln,356,1
Heusweiler,852,6
Kleinblittersdorf,708,3
Püttlingen,880,2
Quierschied,587,3
Riegelsberg,720,2
Saarbrücken,10358,73
Sulzbach/Saar,729,3
Völklingen,2710,41
