Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,331,29
Großrosseln,322,32
Heusweiler,703,30
Kleinblittersdorf,618,4
Püttlingen,726,23
Quierschied,492,17
Riegelsberg,610,25
Saarbrücken,8393,496
Sulzbach/Saar,579,34
Völklingen,2156,156
