Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,667,23
Großrosseln,517,12
Heusweiler,1272,18
Kleinblittersdorf,1115,6
Püttlingen,1377,32
Quierschied,1007,25
Riegelsberg,1082,28
Saarbrücken,14814,397
Sulzbach/Saar,1375,40
Völklingen,3878,64
