Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,380,11
Großrosseln,341,9
Heusweiler,795,37
Kleinblittersdorf,669,19
Püttlingen,806,27
Quierschied,561,23
Riegelsberg,675,23
Saarbrücken,9650,301
Sulzbach/Saar,695,17
Völklingen,2464,79
