Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,411,6
Großrosseln,361,2
Heusweiler,876,12
Kleinblittersdorf,715,3
Püttlingen,896,13
Quierschied,609,12
Riegelsberg,729,5
Saarbrücken,10512,94
Sulzbach/Saar,742,6
Völklingen,2785,34
