Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,394,4
Großrosseln,346,1
Heusweiler,836,21
Kleinblittersdorf,696,27
Püttlingen,863,24
Quierschied,575,5
Riegelsberg,714,14
Saarbrücken,10158,246
Sulzbach/Saar,716,8
Völklingen,2624,108
