Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,441,12
Großrosseln,376,6
Heusweiler,937,37
Kleinblittersdorf,738,13
Püttlingen,954,18
Quierschied,638,17
Riegelsberg,772,9
Saarbrücken,10986,213
Sulzbach/Saar,823,36
Völklingen,2920,74
