Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,429,5
Großrosseln,370,2
Heusweiler,900,12
Kleinblittersdorf,725,4
Püttlingen,936,13
Quierschied,621,9
Riegelsberg,763,11
Saarbrücken,10773,130
Sulzbach/Saar,787,15
Völklingen,2846,28
