Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,625,39
Großrosseln,490,30
Heusweiler,1229,44
Kleinblittersdorf,1100,22
Püttlingen,1321,36
Quierschied,967,40
Riegelsberg,1029,48
Saarbrücken,14132,547
Sulzbach/Saar,1305,55
Völklingen,3764,129
