Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,586,29
Großrosseln,460,19
Heusweiler,1185,60
Kleinblittersdorf,1078,28
Püttlingen,1285,67
Quierschied,927,52
Riegelsberg,981,53
Saarbrücken,13585,673
Sulzbach/Saar,1250,56
Völklingen,3635,176
