Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,646,23
Großrosseln,506,20
Heusweiler,1257,35
Kleinblittersdorf,1109,13
Püttlingen,1351,35
Quierschied,983,21
Riegelsberg,1058,37
Saarbrücken,14480,436
Sulzbach/Saar,1339,40
Völklingen,3825,85
