Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,379,11
Großrosseln,339,7
Heusweiler,788,33
Kleinblittersdorf,664,17
Püttlingen,796,17
Quierschied,548,12
Riegelsberg,667,21
Saarbrücken,9574,292
Sulzbach/Saar,691,17
Völklingen,2441,76
