Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,382,7
Großrosseln,344,11
Heusweiler,800,39
Kleinblittersdorf,671,18
Püttlingen,822,42
Quierschied,565,26
Riegelsberg,690,35
Saarbrücken,9754,334
Sulzbach/Saar,701,23
Völklingen,2483,74
