Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,351,16
Großrosseln,328,4
Heusweiler,727,15
Kleinblittersdorf,633,9
Püttlingen,746,13
Quierschied,506,11
Riegelsberg,632,17
Saarbrücken,8779,242
Sulzbach/Saar,621,37
Völklingen,2255,71
