Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,519,45
Großrosseln,418,29
Heusweiler,1072,72
Kleinblittersdorf,988,130
Püttlingen,1114,76
Quierschied,799,96
Riegelsberg,865,57
Saarbrücken,12087,695
Sulzbach/Saar,1088,171
Völklingen,3266,213
