Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,437,11
Großrosseln,372,3
Heusweiler,928,28
Kleinblittersdorf,735,13
Püttlingen,950,18
Quierschied,633,16
Riegelsberg,769,9
Saarbrücken,10939,204
Sulzbach/Saar,818,35
Völklingen,2902,60
