Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,327,30
Großrosseln,313,27
Heusweiler,696,30
Kleinblittersdorf,618,14
Püttlingen,718,29
Quierschied,488,22
Riegelsberg,608,40
Saarbrücken,8297,597
Sulzbach/Saar,568,31
Völklingen,2122,156
