Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,632,29
Großrosseln,497,29
Heusweiler,1238,47
Kleinblittersdorf,1106,25
Püttlingen,1329,33
Quierschied,974,38
Riegelsberg,1043,43
Saarbrücken,14244,515
Sulzbach/Saar,1317,50
Völklingen,3785,114
