Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,341,27
Großrosseln,326,18
Heusweiler,716,31
Kleinblittersdorf,625,4
Püttlingen,739,22
Quierschied,497,6
Riegelsberg,619,20
Saarbrücken,8617,366
Sulzbach/Saar,594,31
Völklingen,2219,134
