Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,610,42
Großrosseln,479,30
Heusweiler,1206,59
Kleinblittersdorf,1086,23
Püttlingen,1303,46
Quierschied,948,52
Riegelsberg,1010,53
Saarbrücken,13852,645
Sulzbach/Saar,1278,52
Völklingen,3699,159
