Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,402,8
Großrosseln,355,9
Heusweiler,851,16
Kleinblittersdorf,706,13
Püttlingen,879,16
Quierschied,586,10
Riegelsberg,720,6
Saarbrücken,10325,189
Sulzbach/Saar,727,11
Völklingen,2691,82
