Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,562,28
Großrosseln,447,21
Heusweiler,1133,46
Kleinblittersdorf,1057,43
Püttlingen,1233,77
Quierschied,887,59
Riegelsberg,947,61
Saarbrücken,13073,687
Sulzbach/Saar,1210,82
Völklingen,3501,157
