Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,431,7
Großrosseln,370,1
Heusweiler,905,10
Kleinblittersdorf,727,5
Püttlingen,938,13
Quierschied,623,10
Riegelsberg,763,6
Saarbrücken,10823,155
Sulzbach/Saar,792,18
Völklingen,2866,39
