Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,575,26
Großrosseln,453,18
Heusweiler,1155,47
Kleinblittersdorf,1065,34
Püttlingen,1271,78
Quierschied,902,49
Riegelsberg,962,50
Saarbrücken,13357,687
Sulzbach/Saar,1237,73
Völklingen,3593,193
