Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,357,5
Großrosseln,329,1
Heusweiler,745,16
Kleinblittersdorf,635,2
Püttlingen,753,3
Quierschied,517,11
Riegelsberg,636,4
Saarbrücken,8884,98
Sulzbach/Saar,646,26
Völklingen,2269,12
