Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,350,16
Großrosseln,328,5
Heusweiler,722,13
Kleinblittersdorf,633,11
Püttlingen,746,14
Quierschied,506,11
Riegelsberg,632,19
Saarbrücken,8762,260
Sulzbach/Saar,621,38
Völklingen,2255,80
