Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,633,23
Großrosseln,499,20
Heusweiler,1251,45
Kleinblittersdorf,1109,23
Püttlingen,1335,32
Quierschied,980,32
Riegelsberg,1049,39
Saarbrücken,14344,492
Sulzbach/Saar,1329,51
Völklingen,3806,107
