Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,392,3
Großrosseln,346,1
Heusweiler,834,28
Kleinblittersdorf,695,26
Püttlingen,862,36
Quierschied,574,4
Riegelsberg,714,22
Saarbrücken,10140,282
Sulzbach/Saar,714,8
Völklingen,2613,110
