Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,623,44
Großrosseln,486,28
Heusweiler,1222,52
Kleinblittersdorf,1096,27
Püttlingen,1316,36
Quierschied,962,49
Riegelsberg,1021,50
Saarbrücken,14044,544
Sulzbach/Saar,1299,54
Völklingen,3740,120
