Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,603,41
Großrosseln,468,21
Heusweiler,1191,58
Kleinblittersdorf,1081,24
Püttlingen,1296,63
Quierschied,936,49
Riegelsberg,1000,53
Saarbrücken,13729,656
Sulzbach/Saar,1267,57
Völklingen,3671,170
