Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,348,24
Großrosseln,328,13
Heusweiler,718,26
Kleinblittersdorf,629,7
Püttlingen,745,15
Quierschied,503,6
Riegelsberg,628,22
Saarbrücken,8716,346
Sulzbach/Saar,608,32
Völklingen,2247,111
