Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,404,2
Großrosseln,358,3
Heusweiler,855,4
Kleinblittersdorf,708,2
Püttlingen,882,3
Quierschied,591,5
Riegelsberg,721,1
Saarbrücken,10385,60
Sulzbach/Saar,735,8
Völklingen,2731,40
